[4, 90];[394, 77];[64, 178];[325, 241]
[18, 15];[389, 55];[29, 218];[378, 209]
[29, 21];[302, 0];[18, 190];[394, 224]
[40, 82];[362, 24];[5, 184];[335, 193]
[-19, 13];[369, 60];[61, 250];[338, 204]
[19, 26];[369, 7];[63, 203];[327, 263]
[1, 100];[310, 70];[-17, 254];[378, 204]
[29, 12];[329, 69];[30, 246];[335, 267]
[72, 7];[347, 75];[-9, 256];[383, 254]
[27, 62];[372, 25];[11, 244];[397, 257]
[-6, 42];[359, 88];[21, 263];[316, 241]
[22, 87];[384, 23];[49, 257];[400, 179]
[4, 52];[343, 84];[56, 179];[319, 204]
[54, 63];[333, 25];[-11, 182];[313, 211]
[70, 89];[391, 99];[67, 229];[389, 182]
[64, 63];[309, 50];[-24, 196];[318, 189]
[52, 26];[327, 9];[71, 235];[375, 186]
[-15, 79];[370, 86];[37, 247];[352, 257]
[-7, 42];[396, 11];[66, 217];[338, 243]
[66, 82];[312, 29];[62, 239];[390, 181]
[-8, 5];[355, 82];[63, 205];[332, 203]
[-23, 25];[301, 13];[13, 227];[395, 230]
[6, 35];[373, 16];[-4, 226];[387, 244]
[64, 18];[305, 81];[-9, 177];[338, 195]
[9, 22];[399, 52];[50, 179];[355, 266]
[-22, 0];[304, 97];[33, 268];[328, 186]
[12, 59];[347, 91];[40, 274];[353, 208]
[-7, 11];[321, 32];[64, 224];[379, 244]
[32, 13];[388, 52];[56, 201];[349, 225]
[66, 99];[311, 40];[1, 196];[347, 202]
[7, 73];[307, 22];[8, 228];[397, 230]
[71, 33];[305, 3];[12, 231];[347, 211]
[47, 95];[359, 61];[29, 201];[371, 267]
[15, 66];[383, 21];[53, 234];[326, 192]
[-12, 87];[343, 79];[-18, 175];[307, 219]
[65, 50];[333, 27];[62, 272];[357, 205]
[0, 16];[369, 15];[19, 200];[325, 240]
[37, 58];[383, 27];[63, 263];[396, 206]
[63, 55];[361, 98];[-18, 182];[383, 191]
[10, 29];[343, 7];[-17, 261];[361, 231]
[18, 21];[364, 26];[64, 253];[331, 246]
[10, 91];[308, 4];[55, 247];[359, 196]
[70, 95];[316, 91];[65, 242];[361, 247]
[-19, 47];[385, 5];[59, 210];[328, 206]
[63, 72];[303, 58];[39, 274];[331, 243]
[43, 0];[347, 46];[19, 258];[399, 209]
[29, 68];[371, 89];[47, 260];[341, 225]
[63, 87];[345, 99];[75, 192];[303, 185]
[8, 99];[340, 90];[-2, 237];[327, 253]
[6, 81];[367, 4];[-17, 272];[320, 221]
[0, 25];[309, 97];[50, 232];[395, 201]
[13, 42];[384, 100];[-21, 222];[395, 225]
